time_mecab,time_okt,time_kkma
0.665416002,0.451791286,6.043385506
0.670345306,0.453785658,6.05235815
0.67538929,0.455780268,6.062333107
0.680380821,0.458771706,6.071311474
0.685362816,0.460767031,6.085271597
0.690349579,0.462761164,6.094247818
0.695338011,0.464755774,6.104222536
0.700324774,0.466750383,6.113179684
0.705309153,0.468745947,6.125158787
0.710298061,0.470740557,6.136121273
0.715283394,0.472735882,6.146110773
0.720269442,0.474729061,6.156085968
0.725256443,0.476722717,6.165057659
0.730243921,0.478717327,6.175031662
0.735229731,0.480713129,6.185004473
0.740215778,0.482708216,6.193980455
0.745202541,0.484704018,6.203954458
0.750190496,0.486697674,6.213926792
0.755176067,0.488692522,6.227889061
0.760163069,0.490687132,6.238860369
0.765149832,0.493679285,6.248833895
0.770137548,0.495673895,6.257813931
0.775124311,0.497668505,6.267783403
0.780111074,0.500660658,6.277756214
0.785037994,0.502655983,6.287730217
0.790084124,0.504649639,6.297703028
0.795069456,0.506644487,6.306678534
0.800055981,0.509635925,6.315659046
0.805042505,0.512628555,6.326625109
0.81003046,0.51462388,6.335604191
0.815017462,0.51661706,6.345575333
0.820004225,0.51960969,6.354553223
0.82498908,0.521604061,6.364528179
0.829920769,0.523598194,6.378489256
0.835959911,0.525592566,6.387467146
0.840946436,0.527587891,6.39743638
0.845934153,0.529582262,6.407412052
0.850861549,0.531576633,6.417382479
0.855876446,0.533590794,6.428356886
0.860867739,0.535565853,6.438327551
0.865872622,0.537560225,6.4483006
0.870827913,0.539556265,6.457276106
0.876811266,0.541551113,6.466252565
0.882796049,0.543545485,6.475232124
0.887762785,0.546537399,6.485201359
0.892749786,0.548532248,6.494178057
